"icd10","visit_type2","monthly_expenditure"
"L632","Outpatient",150.94073
"L638","Inpatient",NA
"L638","Outpatient",100.98897
"L639","Inpatient",2592.8264
"L639","Outpatient",124.55199
"L640","Inpatient",NA
"L640","Outpatient",187.57954
"L648","Inpatient",NA
"L648","Outpatient",113.81528
"L649","Inpatient",NA
"L649","Outpatient",116.23515
"L650","Inpatient",NA
"L650","Outpatient",111.39982
"L651","Inpatient",NA
"L651","Outpatient",148.71956
"L652","Inpatient",NA
"L652","Outpatient",126.85253
"L658","Inpatient",NA
"L658","Outpatient",127.81265
"L659","Inpatient",1424.5264
"L659","Outpatient",115.99414
"L660","Inpatient",NA
"L660","Outpatient",106.79916
"L661","Inpatient",NA
"L661","Outpatient",123.72823
"L662","Inpatient",6027.7974
"L662","Outpatient",137.92061
"L663","Inpatient",4324.0181
"L663","Outpatient",174.87009
"L664","Inpatient",269.08084
"L664","Outpatient",110.02519
"L668","Inpatient",NA
"L668","Outpatient",119.0342
"L669","Inpatient",NA
"L669","Outpatient",163.57436
"L670","Inpatient",NA
"L670","Outpatient",90.972084
"L671","Inpatient",NA
"L671","Outpatient",320.82306
"L678","Inpatient",NA
"L678","Outpatient",118.26024
"L679","Inpatient",NA
"L679","Outpatient",123.99985
"L680","Inpatient",197.60555
"L680","Outpatient",148.10211
"L681","Inpatient",NA
"L681","Outpatient",91.267601
"L682","Inpatient",NA
"L682","Outpatient",132.18588
"L683","Inpatient",NA
"L683","Outpatient",149.11086
"L688","Inpatient",NA
"L688","Outpatient",163.10963
"L689","Inpatient",NA
"L689","Outpatient",132.79865
"L700","Inpatient",651.11957
"L700","Outpatient",118.11933
"L701","Inpatient",NA
"L701","Outpatient",125.14333
"L702","Inpatient",NA
"L702","Outpatient",117.595
"L703","Inpatient",NA
"L703","Outpatient",137.05522
"L705","Inpatient",NA
"L705","Outpatient",111.88386
"L708","Inpatient",NA
"L708","Outpatient",136.49861
"L709","Inpatient",1051.8391
"L709","Outpatient",124.72471
"L710","Inpatient",625.13275
"L710","Outpatient",114.99231
"L711","Inpatient",NA
"L711","Outpatient",429.79166
"L718","Inpatient",736.05786
"L718","Outpatient",137.83133
"L719","Inpatient",1350.5636
"L719","Outpatient",130.23262
"L720","Inpatient",2055.0898
"L720","Outpatient",322.09799
"L7211","Inpatient",619.74744
"L7211","Outpatient",419.15988
"L7212","Inpatient",4315.5693
"L7212","Outpatient",564.10541
"L722","Inpatient",NA
"L722","Outpatient",193.57785
"L723","Inpatient",3977.1714
"L723","Outpatient",263.82877
"L728","Inpatient",2985.0679
"L728","Outpatient",240.8495
"L729","Inpatient",1809.7244
"L729","Outpatient",211.56267
"L730","Inpatient",NA
"L730","Outpatient",136.67892
"L731","Inpatient",NA
"L731","Outpatient",134.41484
"L732","Inpatient",10861.22
"L732","Outpatient",542.0647
"L738","Inpatient",3634.3562
"L738","Outpatient",140.34517
"L739","Inpatient",3402.6697
"L739","Outpatient",145.24507
"L740","Inpatient",942.99146
"L740","Outpatient",135.59206
"L741","Inpatient",NA
"L741","Outpatient",119.06433
"L742","Inpatient",NA
"L742","Outpatient",123.79476
"L743","Inpatient",819.62207
"L743","Outpatient",141.68282
"L744","Inpatient",NA
"L744","Outpatient",103.43787
"L74510","Inpatient",NA
"L74510","Outpatient",388.34396
"L74511","Inpatient",10065.403
"L74511","Outpatient",295.96564
"L74512","Inpatient",NA
"L74512","Outpatient",252.38397
"L74513","Inpatient",1852.1379
"L74513","Outpatient",135.68956
"L74519","Inpatient",NA
"L74519","Outpatient",158.56303
"L7452","Inpatient",NA
"L7452","Outpatient",302.66339
"L748","Inpatient",NA
"L748","Outpatient",108.69199
"L749","Inpatient",NA
"L749","Outpatient",131.89284
"L750","Inpatient",NA
"L750","Outpatient",100.9899
"L751","Inpatient",NA
"L751","Outpatient",103.13389
"L752","Inpatient",NA
"L752","Outpatient",140.74542
"L758","Inpatient",NA
"L758","Outpatient",136.55127
"L759","Inpatient",NA
"L759","Outpatient",111.85901
"L7601","Inpatient",9112.9131
"L7601","Outpatient",371.84512
"L7602","Inpatient",6307.8218
"L7602","Outpatient",449.36102
"L7611","Inpatient",NA
"L7611","Outpatient",299.87115
"L7612","Inpatient",NA
"L7612","Outpatient",316.33505
"L7621","Inpatient",11333.075
"L7621","Outpatient",389.02676
"L7622","Inpatient",9483.6328
"L7622","Outpatient",495.19138
"L7631","Inpatient",10083.396
"L7631","Outpatient",700.43445
"L7632","Inpatient",10995.757
"L7632","Outpatient",929.93799
"L7633","Inpatient",9482.5283
"L7633","Outpatient",648.96997
"L7634","Inpatient",10369.7
"L7634","Outpatient",714.43878
"L7681","Inpatient",8754.6191
"L7681","Outpatient",457.45148
"L7682","Inpatient",9252.4004
"L7682","Outpatient",500.29593
"L80","Inpatient",NA
"L80","Outpatient",308.48752
"L810","Inpatient",1376.7781
"L810","Outpatient",130.61426
"L811","Inpatient",NA
"L811","Outpatient",115.22285
"L812","Inpatient",NA
"L812","Outpatient",163.27901
"L813","Inpatient",NA
"L813","Outpatient",162.66756
"L814","Inpatient",463.28827
"L814","Outpatient",175.92406
"L815","Inpatient",NA
"L815","Outpatient",159.67218
"L816","Inpatient",NA
"L816","Outpatient",148.48338
"L817","Inpatient",4398.6245
"L817","Outpatient",136.27867
"L818","Inpatient",824.46906
"L818","Outpatient",160.49763
"L819","Inpatient",517.6239
"L819","Outpatient",158.53967
"L820","Inpatient",209.08974
"L820","Outpatient",150.54289
"L821","Inpatient",327.24054
"L821","Outpatient",162.05174
"L83","Inpatient",1395.665
"L83","Outpatient",200.4581
"L84","Inpatient",1059.7272
"L84","Outpatient",125.26431
"L850","Inpatient",2700.7393
"L850","Outpatient",130.93539
"L851","Inpatient",518.95007
"L851","Outpatient",118.41763
"L852","Inpatient",3023.6313
"L852","Outpatient",107.45829
"L853","Inpatient",873.8985
"L853","Outpatient",148.55469
"L858","Inpatient",1305.2504
"L858","Outpatient",174.40048
"L859","Inpatient",501.5213
"L859","Outpatient",150.22775
"L86","Inpatient",NA
"L86","Outpatient",127.79205
"L870","Inpatient",6255.564
"L870","Outpatient",143.21281
"L871","Inpatient",NA
"L871","Outpatient",187.46712
"L872","Inpatient",NA
"L872","Outpatient",155.23882
"L878","Inpatient",NA
"L878","Outpatient",159.86292
"L879","Inpatient",NA
"L879","Outpatient",151.15091
"L88","Inpatient",10491.506
"L88","Outpatient",682.55493
"L89000","Inpatient",4367.5825
"L89000","Outpatient",196.87553
"L89001","Inpatient",NA
"L89001","Outpatient",153.60432
"L89002","Inpatient",3161.5322
"L89002","Outpatient",132.44057
"L89003","Inpatient",2516.6423
"L89003","Outpatient",216.67157
"L89004","Inpatient",2339.6289
"L89004","Outpatient",353.21347
"L89009","Inpatient",1705.1775
"L89009","Outpatient",221.49033
"L89010","Inpatient",3001.8955
"L89010","Outpatient",368.90021
"L89011","Inpatient",207.17462
"L89011","Outpatient",158.21178
"L89012","Inpatient",2489.6716
"L89012","Outpatient",298.90448
"L89013","Inpatient",8480.3955
"L89013","Outpatient",563.63879
"L89014","Inpatient",11088.072
"L89014","Outpatient",740.44849
"L89019","Inpatient",5327.0952
"L89019","Outpatient",274.34467
"L89020","Inpatient",2953.7656
"L89020","Outpatient",420.12112
"L89021","Inpatient",NA
"L89021","Outpatient",201.12752
"L89022","Inpatient",2249.8503
"L89022","Outpatient",306.55771
"L89023","Inpatient",8562.4082
"L89023","Outpatient",536.98431
"L89024","Inpatient",11314.948
"L89024","Outpatient",641.80267
"L89029","Inpatient",4691.645
"L89029","Outpatient",314.07794
"L89100","Inpatient",3897.4331
"L89100","Outpatient",261.99164
"L89101","Inpatient",2546.2688
"L89101","Outpatient",142.3273
"L89102","Inpatient",4437.311
"L89102","Outpatient",237.73341
"L89103","Inpatient",7000.2261
"L89103","Outpatient",384.52094
"L89104","Inpatient",7146.3052
"L89104","Outpatient",455.95642
"L89106","Inpatient",NA
"L89106","Outpatient",337.94763
"L89109","Inpatient",3210.2642
"L89109","Outpatient",331.99323
"L89110","Inpatient",5066.7051
"L89110","Outpatient",450.01776
"L89111","Inpatient",1208.9418
"L89111","Outpatient",188.70093
"L89112","Inpatient",5072.1714
"L89112","Outpatient",291.42523
"L89113","Inpatient",9421.5732
"L89113","Outpatient",513.96979
"L89114","Inpatient",12075.377
"L89114","Outpatient",634.11432
"L89119","Inpatient",2817.2288
"L89119","Outpatient",326.05026
"L89120","Inpatient",5298.2495
"L89120","Outpatient",403.69025
"L89121","Inpatient",NA
"L89121","Outpatient",193.89432
"L89122","Inpatient",4630.9883
"L89122","Outpatient",285.40552
"L89123","Inpatient",13188.578
"L89123","Outpatient",477.07516
"L89124","Inpatient",14352.288
"L89124","Outpatient",656.73541
"L89129","Inpatient",2698.3433
"L89129","Outpatient",394.32797
"L89130","Inpatient",2756.575
"L89130","Outpatient",341.9364
"L89131","Inpatient",2320.6663
"L89131","Outpatient",212.91789
"L89132","Inpatient",3441.8933
"L89132","Outpatient",271.1944
"L89133","Inpatient",5748.0679
"L89133","Outpatient",417.08023
"L89134","Inpatient",8068.3906
"L89134","Outpatient",505.6499
"L89139","Inpatient",1457.057
"L89139","Outpatient",263.16409
"L89140","Inpatient",4608.7998
"L89140","Outpatient",373.88626
"L89141","Inpatient",NA
"L89141","Outpatient",172.26309
"L89142","Inpatient",5961.4883
"L89142","Outpatient",264.04196
"L89143","Inpatient",6539.2871
"L89143","Outpatient",423.67191
"L89144","Inpatient",7911.7563
"L89144","Outpatient",527.21875
"L89149","Inpatient",3748.5637
"L89149","Outpatient",261.16205
"L89150","Inpatient",5590.8115
"L89150","Outpatient",407.97678
"L89151","Inpatient",2357.2615
"L89151","Outpatient",212.86705
"L89152","Inpatient",4901.8672
"L89152","Outpatient",264.64355
"L89153","Inpatient",9232.9941
"L89153","Outpatient",518.16351
"L89154","Inpatient",14490.706
"L89154","Outpatient",765.76398
"L89156","Inpatient",5906.0898
"L89156","Outpatient",277.37463
"L89159","Inpatient",3418.3286
"L89159","Outpatient",336.39026
"L89200","Inpatient",2454.9221
"L89200","Outpatient",268.71432
"L89201","Inpatient",3245.7615
"L89201","Outpatient",154.8483
"L89202","Inpatient",3839.6914
"L89202","Outpatient",207.45779
"L89203","Inpatient",4533
"L89203","Outpatient",351.21796
"L89204","Inpatient",3709.9312
"L89204","Outpatient",472.17773
"L89209","Inpatient",2459.5117
"L89209","Outpatient",331.78922
"L89210","Inpatient",6769.4448
"L89210","Outpatient",453.30978
"L89211","Inpatient",2591.8271
"L89211","Outpatient",192.1118
"L89212","Inpatient",5611.5444
"L89212","Outpatient",290.13467
"L89213","Inpatient",9917.4258
"L89213","Outpatient",562.46179
"L89214","Inpatient",14603.115
"L89214","Outpatient",742.14429
"L89216","Inpatient",NA
"L89216","Outpatient",187.60577
"L89219","Inpatient",4466.7178
"L89219","Outpatient",393.02225
"L89220","Inpatient",8345.7881
"L89220","Outpatient",465.17606
"L89221","Inpatient",3036.626
"L89221","Outpatient",219.93465
"L89222","Inpatient",6863.6343
"L89222","Outpatient",315.99515
"L89223","Inpatient",11222.408
"L89223","Outpatient",586.39203
"L89224","Inpatient",16349.057
"L89224","Outpatient",770.72449
"L89226","Inpatient",NA
"L89226","Outpatient",311.61478
"L89229","Inpatient",4409.4604
"L89229","Outpatient",415.04123
"L89300","Inpatient",3468.8506
"L89300","Outpatient",339.1167
"L89301","Inpatient",2625.9221
"L89301","Outpatient",212.58559
"L89302","Inpatient",4539.9312
"L89302","Outpatient",215.3886
"L89303","Inpatient",6843.3662
"L89303","Outpatient",314.75708
"L89304","Inpatient",6002.8501
"L89304","Outpatient",406.54788
"L89306","Inpatient",NA
"L89306","Outpatient",287.60364
"L89309","Inpatient",3308.0352
"L89309","Outpatient",306.96469
"L89310","Inpatient",5629.0054
"L89310","Outpatient",371.52786
"L89311","Inpatient",2555.752
"L89311","Outpatient",182.09245
"L89312","Inpatient",4171.3613
"L89312","Outpatient",260.29388
"L89313","Inpatient",9035.5137
"L89313","Outpatient",509.34134
"L89314","Inpatient",14244.589
"L89314","Outpatient",689.68866
"L89316","Inpatient",5581.5415
"L89316","Outpatient",278.82605
"L89319","Inpatient",4613.998
"L89319","Outpatient",306.79724
"L89320","Inpatient",6481.8096
"L89320","Outpatient",393.00351
"L89321","Inpatient",4073.8853
"L89321","Outpatient",185.78151
"L89322","Inpatient",5508.1479
"L89322","Outpatient",266.41989
"L89323","Inpatient",10520.936
"L89323","Outpatient",511.77414
"L89324","Inpatient",15140.542
"L89324","Outpatient",715.41766
"L89326","Inpatient",11756.582
"L89326","Outpatient",215.47792
"L89329","Inpatient",5116.6958
"L89329","Outpatient",303.18781
"L8940","Inpatient",3723.6296
"L8940","Outpatient",246.67531
"L8941","Inpatient",606.9823
"L8941","Outpatient",184.43011
"L8942","Inpatient",4726.1841
"L8942","Outpatient",222.96179
"L8943","Inpatient",5477.0239
"L8943","Outpatient",408.78909
"L8944","Inpatient",9314.0918
"L8944","Outpatient",510.39044
"L8945","Inpatient",3565.9509
"L8945","Outpatient",354.90659
"L8946","Inpatient",NA
"L8946","Outpatient",231.96938
"L89500","Inpatient",1912.7023
"L89500","Outpatient",379.72226
"L89501","Inpatient",NA
"L89501","Outpatient",203.01549
"L89502","Inpatient",1625.7465
"L89502","Outpatient",226.79436
"L89503","Inpatient",8273.5498
"L89503","Outpatient",374.17648
"L89504","Inpatient",13697.628
"L89504","Outpatient",517.20209
"L89509","Inpatient",2421.6589
"L89509","Outpatient",351.26706
"L89510","Inpatient",4215.6729
"L89510","Outpatient",422.24817
"L89511","Inpatient",2337.1494
"L89511","Outpatient",227.04211
"L89512","Inpatient",4205.7651
"L89512","Outpatient",407.75656
"L89513","Inpatient",7794.1484
"L89513","Outpatient",607.80359
"L89514","Inpatient",9747.5918
"L89514","Outpatient",717.625
"L89516","Inpatient",NA
"L89516","Outpatient",221.91479
"L89519","Inpatient",5381.7783
"L89519","Outpatient",370.38962
"L89520","Inpatient",5311.6113
"L89520","Outpatient",404.13217
"L89521","Inpatient",3438.6875
"L89521","Outpatient",241.10385
"L89522","Inpatient",6732.064
"L89522","Outpatient",386.43915
"L89523","Inpatient",8415.2051
"L89523","Outpatient",607.55475
"L89524","Inpatient",10755.584
"L89524","Outpatient",760.33154
"L89529","Inpatient",5813.2598
"L89529","Outpatient",386.79523
"L89600","Inpatient",2754.4714
"L89600","Outpatient",220.80396
"L89601","Inpatient",707.99915
"L89601","Outpatient",147.55763
"L89602","Inpatient",2992.7158
"L89602","Outpatient",269.86832
"L89603","Inpatient",4858.9868
"L89603","Outpatient",402.90546
"L89604","Inpatient",5108.104
"L89604","Outpatient",378.75513
"L89606","Inpatient",NA
"L89606","Outpatient",157.52374
"L89609","Inpatient",2992.7078
"L89609","Outpatient",307.30188
"L89610","Inpatient",5073.6372
"L89610","Outpatient",392.45633
"L89611","Inpatient",1523.886
"L89611","Outpatient",210.27805
"L89612","Inpatient",4164.2368
"L89612","Outpatient",361.07706
"L89613","Inpatient",7444.7808
"L89613","Outpatient",605.90601
"L89614","Inpatient",10256.092
"L89614","Outpatient",702.88208
"L89616","Inpatient",3538.1892
"L89616","Outpatient",241.37491
"L89619","Inpatient",4991.3818
"L89619","Outpatient",367.87991
"L89620","Inpatient",5837.5806
"L89620","Outpatient",400.87823
"L89621","Inpatient",1962.3137
"L89621","Outpatient",208.85265
"L89622","Inpatient",4689.1226
"L89622","Outpatient",364.71445
"L89623","Inpatient",8374.2344
"L89623","Outpatient",602.8902
"L89624","Inpatient",11213.524
"L89624","Outpatient",710.56494
"L89626","Inpatient",8363.7305
"L89626","Outpatient",266.27054
"L89629","Inpatient",6011.7397
"L89629","Outpatient",387.04605
"L89810","Inpatient",3229.1851
"L89810","Outpatient",313.29605
"L89811","Inpatient",323.55475
"L89811","Outpatient",135.27562
"L89812","Inpatient",2110.2278
"L89812","Outpatient",259.30182
"L89813","Inpatient",6438.2603
"L89813","Outpatient",490.15332
"L89814","Inpatient",11453.971
"L89814","Outpatient",816.51392
"L89819","Inpatient",4580.0474
"L89819","Outpatient",321.76865
"L89890","Inpatient",5288.126
"L89890","Outpatient",406.8241
"L89891","Inpatient",2009.3512
"L89891","Outpatient",166.50346
"L89892","Inpatient",5332.1118
"L89892","Outpatient",334.82736
"L89893","Inpatient",8487.7051
"L89893","Outpatient",542.10681
"L89894","Inpatient",11796.65
"L89894","Outpatient",728.05524
"L89896","Inpatient",5938.3726
"L89896","Outpatient",457.42526
"L89899","Inpatient",5228.3491
"L89899","Outpatient",326.67303
"L8990","Inpatient",2452.5122
"L8990","Outpatient",241.33095
"L8991","Inpatient",1178.4188
"L8991","Outpatient",122.54269
"L8992","Inpatient",2252.4929
"L8992","Outpatient",166.09241
"L8993","Inpatient",2860.4524
"L8993","Outpatient",276.57623
"L8994","Inpatient",2945.2324
"L8994","Outpatient",297.72845
"L8995","Inpatient",2745.4126
"L8995","Outpatient",211.63225
"L8996","Inpatient",NA
"L8996","Outpatient",122.77444
"L900","Inpatient",3734.9797
"L900","Outpatient",129.59485
"L901","Inpatient",NA
"L901","Outpatient",102.63457
"L902","Inpatient",NA
"L902","Outpatient",138.1017
"L903","Inpatient",NA
"L903","Outpatient",206.95087
"L904","Inpatient",NA
"L904","Outpatient",136.74562
"L905","Inpatient",3606.3447
"L905","Outpatient",187.28162
"L906","Inpatient",NA
"L906","Outpatient",144.38226
"L908","Inpatient",3765.3816
"L908","Outpatient",285.99646
"L909","Inpatient",1193.2518
"L909","Outpatient",149.32742
"L910","Inpatient",4668.0464
"L910","Outpatient",242.44987
"L918","Inpatient",512.88129
"L918","Outpatient",153.49623
"L919","Inpatient",1792.5709
"L919","Outpatient",165.19937
"L920","Inpatient",3190.1401
"L920","Outpatient",150.75993
"L921","Inpatient",3219.0464
"L921","Outpatient",234.9352
"L922","Inpatient",1309.682
"L922","Outpatient",310.65582
"L923","Inpatient",1922.8158
"L923","Outpatient",262.40714
"L928","Inpatient",4296.5933
"L928","Outpatient",369.37561
"L929","Inpatient",969.41467
"L929","Outpatient",236.48985
"L930","Inpatient",5008.8052
"L930","Outpatient",244.43173
"L931","Inpatient",7716.9844
"L931","Outpatient",199.05673
"L932","Inpatient",6693.5444
"L932","Outpatient",217.33904
"L940","Inpatient",4834.1587
"L940","Outpatient",339.98288
"L941","Inpatient",5057.4468
"L941","Outpatient",221.09488
"L942","Inpatient",23471.166
"L942","Outpatient",409.10065
"L943","Inpatient",NA
"L943","Outpatient",186.69635
"L944","Inpatient",NA
"L944","Outpatient",133.84822
"L945","Inpatient",NA
"L945","Outpatient",107.18562
"L946","Inpatient",NA
"L946","Outpatient",226.27757
"L948","Inpatient",2060.4329
"L948","Outpatient",407.75925
"L949","Inpatient",4862.7476
"L949","Outpatient",198.42847
"L950","Inpatient",6814.0591
"L950","Outpatient",395.55875
"L951","Inpatient",NA
"L951","Outpatient",130.79616
"L958","Inpatient",6591.5845
"L958","Outpatient",270.25467
"L959","Inpatient",5017.9604
"L959","Outpatient",288.7132
"L97101","Inpatient",3770.687
"L97101","Outpatient",225.39085
"L97102","Inpatient",4668.2671
"L97102","Outpatient",389.75641
"L97103","Inpatient",890.87219
"L97103","Outpatient",260.25616
"L97104","Inpatient",NA
"L97104","Outpatient",790.93567
"L97105","Inpatient",NA
"L97105","Outpatient",341.69174
"L97108","Inpatient",NA
"L97108","Outpatient",256.83334
"L97109","Inpatient",2752.5417
"L97109","Outpatient",298.52734
"L97111","Inpatient",7022.2036
"L97111","Outpatient",348.41815
"L97112","Inpatient",2876.4739
"L97112","Outpatient",532.83179
"L97113","Inpatient",3632.0198
"L97113","Outpatient",763.51013
"L97114","Inpatient",2339.4485
"L97114","Outpatient",775.91284
"L97115","Inpatient",5702.1709
"L97115","Outpatient",479.4903
"L97116","Inpatient",NA
"L97116","Outpatient",629.20795
"L97118","Inpatient",6585.8799
"L97118","Outpatient",579.89612
"L97119","Inpatient",5667.6211
"L97119","Outpatient",319.92432
"L97121","Inpatient",6163.6333
"L97121","Outpatient",347.84674
"L97122","Inpatient",4359.3691
"L97122","Outpatient",511.60504
"L97123","Inpatient",4363.3721
"L97123","Outpatient",703.13971
"L97124","Inpatient",3127.3145
"L97124","Outpatient",470.3425
"L97125","Inpatient",NA
"L97125","Outpatient",715.92883
"L97126","Inpatient",NA
"L97126","Outpatient",421.18796
"L97128","Inpatient",7447.0845
"L97128","Outpatient",456.97272
"L97129","Inpatient",6294.7036
"L97129","Outpatient",289.53995
"L97201","Inpatient",3735.2876
"L97201","Outpatient",334.00116
"L97202","Inpatient",2548.6643
"L97202","Outpatient",718.10889
"L97203","Inpatient",3515.99
"L97203","Outpatient",400.93481
"L97204","Inpatient",NA
"L97204","Outpatient",321.05032
"L97205","Inpatient",NA
"L97205","Outpatient",183.46095
"L97208","Inpatient",NA
"L97208","Outpatient",272.26837
"L97209","Inpatient",3547.6357
"L97209","Outpatient",410.66891
"L97211","Inpatient",4467.8638
"L97211","Outpatient",408.86765
"L97212","Inpatient",3415.8342
"L97212","Outpatient",635.23969
"L97213","Inpatient",5416.6143
"L97213","Outpatient",799.3335
"L97214","Inpatient",5491.6138
"L97214","Outpatient",1156.8197
"L97215","Inpatient",9631.457
"L97215","Outpatient",928.69061
"L97216","Inpatient",NA
"L97216","Outpatient",701.69037
"L97218","Inpatient",8791.7793
"L97218","Outpatient",482.91986
"L97219","Inpatient",7168.8696
"L97219","Outpatient",448.04175
"L97221","Inpatient",4662.292
"L97221","Outpatient",421.7681
"L97222","Inpatient",3642.9224
"L97222","Outpatient",615.45398
"L97223","Inpatient",5924.1074
"L97223","Outpatient",862.47699
"L97224","Inpatient",3109.436
"L97224","Outpatient",697.0011
"L97225","Inpatient",8008.8877
"L97225","Outpatient",885.44952
"L97226","Inpatient",NA
"L97226","Outpatient",531.70892
"L97228","Inpatient",8487.248
"L97228","Outpatient",523.78479
"L97229","Inpatient",7278.105
"L97229","Outpatient",439.51953
"L97301","Inpatient",3011.5256
"L97301","Outpatient",352.37283
"L97302","Inpatient",2420.9597
"L97302","Outpatient",423.03372
"L97303","Inpatient",1481.4945
"L97303","Outpatient",631.33527
"L97304","Inpatient",NA
"L97304","Outpatient",423.83746
"L97305","Inpatient",NA
"L97305","Outpatient",588.08167
"L97308","Inpatient",NA
"L97308","Outpatient",199.99924
"L97309","Inpatient",2696.7366
"L97309","Outpatient",370.0575
"L97311","Inpatient",3977.1812
"L97311","Outpatient",429.05981
"L97312","Inpatient",2692.2847
"L97312","Outpatient",643.24951
"L97313","Inpatient",4456.7466
"L97313","Outpatient",839.57855
"L97314","Inpatient",2777.0562
"L97314","Outpatient",872.98724
"L97315","Inpatient",7686.313
"L97315","Outpatient",990.57245
"L97316","Inpatient",8882.2539
"L97316","Outpatient",815.7049
"L97318","Inpatient",7030.0151
"L97318","Outpatient",544.99518
"L97319","Inpatient",6176.3042
"L97319","Outpatient",495.98816
"L97321","Inpatient",4784.0278
"L97321","Outpatient",431.71252
"L97322","Inpatient",2860.8115
"L97322","Outpatient",665.67584
"L97323","Inpatient",3764.2424
"L97323","Outpatient",818.37891
"L97324","Inpatient",3666.252
"L97324","Outpatient",778.61151
"L97325","Inpatient",3551.2493
"L97325","Outpatient",777.81812
"L97326","Inpatient",8101.2461
"L97326","Outpatient",954.17639
"L97328","Inpatient",9455.0156
"L97328","Outpatient",573.01624
"L97329","Inpatient",6315.5425
"L97329","Outpatient",514.13214
"L97401","Inpatient",1585.6895
"L97401","Outpatient",229.66676
"L97402","Inpatient",954.63702
"L97402","Outpatient",363.37146
"L97403","Inpatient",2103.7922
"L97403","Outpatient",372.00879
"L97404","Inpatient",2873.8196
"L97404","Outpatient",417.08643
"L97405","Inpatient",NA
"L97405","Outpatient",462.70578
"L97406","Inpatient",NA
"L97406","Outpatient",141.11171
"L97408","Inpatient",NA
"L97408","Outpatient",397.91205
"L97409","Inpatient",1799.1742
"L97409","Outpatient",298.88535
"L97411","Inpatient",2423.418
"L97411","Outpatient",326.64514
"L97412","Inpatient",1356.4006
"L97412","Outpatient",505.69965
"L97413","Inpatient",2192.9138
"L97413","Outpatient",688.29877
"L97414","Inpatient",1892.8768
"L97414","Outpatient",740.70422
"L97415","Inpatient",2856.4177
"L97415","Outpatient",590.75085
"L97416","Inpatient",5455.7915
"L97416","Outpatient",745.64667
"L97418","Inpatient",4896.2236
"L97418","Outpatient",469.2963
"L97419","Inpatient",3805.6587
"L97419","Outpatient",432.94907
"L97421","Inpatient",2224.8662
"L97421","Outpatient",330.68707
"L97422","Inpatient",1519.5924
"L97422","Outpatient",500.97223
"L97423","Inpatient",2166.5718
"L97423","Outpatient",722.8667
"L97424","Inpatient",2099.4768
"L97424","Outpatient",842.10846
"L97425","Inpatient",4027.8074
"L97425","Outpatient",595.02344
"L97426","Inpatient",4916.5156
"L97426","Outpatient",942.78809
"L97428","Inpatient",5365.3926
"L97428","Outpatient",484.16565
"L97429","Inpatient",3540.5889
"L97429","Outpatient",434.44458
"L97501","Inpatient",1854.3274
"L97501","Outpatient",200.70656
"L97502","Inpatient",984.2226
"L97502","Outpatient",289.00732
"L97503","Inpatient",3169.625
"L97503","Outpatient",413.22968
"L97504","Inpatient",1183.8505
"L97504","Outpatient",503.96753
"L97505","Inpatient",NA
"L97505","Outpatient",726.28394
"L97506","Inpatient",5237.4365
"L97506","Outpatient",448.51184
"L97508","Inpatient",4076.2656
"L97508","Outpatient",349.69315
"L97509","Inpatient",2477.5676
"L97509","Outpatient",284.93707
"L97511","Inpatient",1677.4519
"L97511","Outpatient",265.22018
"L97512","Inpatient",1457.4762
"L97512","Outpatient",429.88251
"L97513","Inpatient",2465.0488
"L97513","Outpatient",620.44751
"L97514","Inpatient",1764.2557
"L97514","Outpatient",705.55621
"L97515","Inpatient",6152.5757
"L97515","Outpatient",563.65125
"L97516","Inpatient",3651.3855
"L97516","Outpatient",771.32446
"L97518","Inpatient",4109.564
"L97518","Outpatient",464.66422
"L97519","Inpatient",2758.3845
"L97519","Outpatient",406.24695
"L97521","Inpatient",2054.1218
"L97521","Outpatient",265.81824
"L97522","Inpatient",1375.8081
"L97522","Outpatient",433.64438
"L97523","Inpatient",2324.7412
"L97523","Outpatient",633.31427
"L97524","Inpatient",1870.9177
"L97524","Outpatient",690.39459
"L97525","Inpatient",3826.6531
"L97525","Outpatient",580.41931
"L97526","Inpatient",4049.769
"L97526","Outpatient",729.8244
"L97528","Inpatient",4633.3276
"L97528","Outpatient",497.33725
"L97529","Inpatient",2979.6926
"L97529","Outpatient",405.70853
"L97801","Inpatient",4890.1597
"L97801","Outpatient",299.66391
"L97802","Inpatient",1699.6121
"L97802","Outpatient",468.42429
"L97803","Inpatient",2901.2639
"L97803","Outpatient",398.10016
"L97804","Inpatient",NA
"L97804","Outpatient",396.00577
"L97805","Inpatient",NA
"L97805","Outpatient",421.6575
"L97808","Inpatient",NA
"L97808","Outpatient",335.01828
"L97809","Inpatient",3625.2473
"L97809","Outpatient",418.09827
"L97811","Inpatient",4209.5371
"L97811","Outpatient",432.23413
"L97812","Inpatient",3119.2937
"L97812","Outpatient",617.88501
"L97813","Inpatient",5547.6113
"L97813","Outpatient",889.3913
"L97814","Inpatient",2960.7944
"L97814","Outpatient",1069.9438
"L97815","Inpatient",7872.6475
"L97815","Outpatient",833.29358
"L97816","Inpatient",5015.3149
"L97816","Outpatient",796.18604
"L97818","Inpatient",7937.5244
"L97818","Outpatient",541.14294
"L97819","Inpatient",6659.7578
"L97819","Outpatient",470.77667
"L97821","Inpatient",5345.2192
"L97821","Outpatient",447.24283
"L97822","Inpatient",4534.6772
"L97822","Outpatient",638.18207
"L97823","Inpatient",6101.6816
"L97823","Outpatient",870.15747
"L97824","Inpatient",4722.4907
"L97824","Outpatient",791.11768
